PANTUN,PENGARANG,HIMPUNAN,TEMA,JENIS,RIMA_TENGAH_1,RIMA_TENGAH_2,RIMA_TENGAH_3,RIMA_TENGAH_4,RIMA_AKHIR_1,RIMA_AKHIR_2,RIMA_AKHIR_3,RIMA_AKHIR_4,MARKAH,PERKATAAN
Chuba gesek 'Gunong Sari' Tiada dapat mahu di-chari Belajar tuan jangan lari Nanti terpuji kemdian hari.,Peranakan,Peranakan,Panton Permolaan 12,Peranakan,,,,,,,,,0.0,"kemdian, gesek, tuan, hari., jangan, Nanti, dapat, di-chari, Sari', Chuba, Belajar, mahu, lari, terpuji, 'Gunong, Tiada"
Demkian kronchong nyanyi melayu Peylet jaw yang paling sayu Bila di-angkat berdayu-dayu Bunga kembang habis-nya layu.,Peranakan,Panton Peranakan,Panton Permolaan 15,Peranakan,chong,yang,kat,bang,yu,yu,yu,yu,18.0,"yang, Peylet, habis-nya, Bunga, di-angkat, berdayu-dayu, sayu, layu., nyanyi, paling, kembang, melayu, Bila, jaw, Demkian, kronchong"
Ini bahsa melayu islam Chakapan terang bukan dalam Kata hari-hari siang dan malam Supaya tuan-tuan lekas tersulam.,Peranakan,Panton Peranakan,Panton Permolaan 15,Peranakan,sa,rang,ri,an,lam,lam,lam,lam,22.0,"dalam, dan, malam, bahsa, islam, tuan-tuan, Chakapan, hari-hari, lekas, bukan, Supaya, siang, tersulam., melayu, Ini, terang, Kata"
Apa kahendak baik berguru Lekas kenal chandana gahru Tiada book di-tiru-nya tiru Tengah majlis tak-brani buru.,Peranakan,Panton Peranakan,Panton Permolaan 15,Peranakan,dak,nal,book,lis,ru,ru,ru,ru,21.0,"chandana, tiru, tak-brani, buru., berguru, Lekas, kahendak, baik, book, kenal, Tengah, majlis, gahru, Apa, di-tiru-nya, Tiada"
Orang puteh payah-nya pula Akan tetapi masok-nya sehola Chakap pandai tiada berchela Bratus ratus gaji di-hela.,Peranakan,Panton Peranakan,Panton Permolaan 15,Peranakan,teh,pi,dai,tus,la,la,la,la,21.0,"Bratus, masok-nya, Chakap, berchela, Orang, di-hela., Akan, puteh, tiada, pandai, gaji, sehola, tetapi, pula, ratus, payah-nya"
Beli angkat jangan-kan rugi Kamdian hari untong terbahgi Bahsa melay dapat-nya lagi Buleh bertutor petang dan pagi.,Peranakan,Panton Peranakan,Panton Permolaan 13,Peranakan,kat,ri,lay,tor,gi,gi,gi,gi,21.0,"angkat, Kamdian, hari, Bahsa, terbahgi, Buleh, untong, jangan-kan, rugi, petang, melay, dapat-nya, Beli, dan, bertutor, lagi, pagi."
Chakap melay bukan-nya mudah Bacha book Lembot lidah Senang di-sebot tinggi dan rendah Bahru dapat dia punya faedah.,Peranakan,Panton Peranakan,Panton Permolaan 13,Peranakan,lay,book,bot,a,dah,dah,dah,dah,17.0,"dia, tinggi, Senang, Chakap, book, faedah., dapat, Bahru, mudah, lidah, melay, bukan-nya, Lembot, di-sebot, punya, dan, rendah, Bacha"
Jika begitu jangan-lah susah Apa yang salah apa yang sah Beli book tentu-lah kesah Baharu-lah buleh manjadi usah.,Peranakan,Panton Peranakan,Panton Permolaan 13,Peranakan,tu,lah,book,leh,sah,sah,sah,sah,18.0,"Jika, yang, Baharu-lah, jangan-lah, usah., book, tentu-lah, apa, kesah, begitu, manjadi, Beli, Apa, sah, salah, buleh, susah"
Anam belas lagu tak-korang Siapa beruntong dapat sekarang Seperti pangkat panglima prang Dalam majlis di-kaseh orang.,Peranakan,Panton Peranakan,Panton Permolaan 13,Peranakan,las,tong,kat,lis,rang,rang,prang,rang,20.0,"orang., Siapa, pangkat, beruntong, di-kaseh, lagu, sekarang, panglima, Anam, majlis, tak-korang, belas, Seperti, Dalam, dapat, prang"
'Ala Al-Lala' di-panggil tuan Akan bermain lagu bangsawan Habis berkenan jantan prompuan Seba melihat rupa kelakuan,Peranakan,Pantun Peranakan,Panton Permulaan 12,Peranakan,la,in,,hat,an,wan,an,an,20.0,"tuan, berkenan, melihat, di-panggil, lagu, Akan, prompuan, Seba, kelakuan, bangsawan, Habis, jantan, rupa, 'Ala, bermain, Al-Lala'"
Chuba gesek 'Gunong Sari' Tiada dapat mahu di-chari Belajar tuan jangan lari Nanti terpuji kemdian hari.,Peranakan,Pantun Peranakan,Panton Permulaan 12,Peranakan,,,,,,,,,0.0,"kemdian, gesek, tuan, hari., jangan, Nanti, dapat, di-chari, Sari', Chuba, Belajar, mahu, lari, terpuji, 'Gunong, Tiada"
Inkronchong 'Pulau Jawa' Paling bangus timbangan jiwa Dalam majlis banyak-nya lawa Mana dengar senyum tertawa.,Peranakan,Peranakan,Panton Permulaan 10,Peranakan,chong,ngus,lis,ngar,wa,wa,wa,wa,17.0,"timbangan, 'Pulau, Mana, Paling, jiwa, lawa, dengar, banyak-nya, Jawa', majlis, tertawa., senyum, Inkronchong, Dalam, bangus"
Ambil jugak 'Bintang Soerabaya' Seberapa buleh dengan rupaya Krana dia pon satu chahya Kepada yang senang suka daya.,Peranakan,Peranakan,Panton Permulaan 10,Peranakan,gak,leh,a,yang,ya,ya,ya,ya,21.0,"rupaya, dia, yang, buleh, dengan, jugak, Kepada, suka, satu, daya., Krana, senang, 'Bintang, pon, chahya, Seberapa, Soerabaya', Ambil"
'Weltevreden' Kronchong nama-nya Jaka tuan-tuan dapat dia-nya Besar guna lagu semua-nya Lagi untong hari belakang-nya.,Peranakan,Peranakan,Panton Permulaan 10,Peranakan,den,an,na,tong,nya,nya,nya,nya,22.0,"hari, Kronchong, Jaka, dapat, lagu, untong, Besar, belakang-nya., dia-nya, tuan-tuan, Lagi, guna, nama-nya, 'Weltevreden', semua-nya"
'Dendang Api-Api' sangat sayu tambah pandai pujok rayu Bukan chuma serupa kayu Buleh harti basha belayu.,Peranakan,Peranakan,Panton Permulaan 10,Peranakan,pi,dai,ma,ti,yu,yu,yu,yu,18.0,"harti, rayu, belayu., sangat, serupa, Buleh, 'Dendang, sayu, tambah, pandai, Bukan, chuma, basha, pujok, kayu, Api-Api'"
Lima lagu dengan nyanyi-nya Suara pon sedap tingkah laku-nya Itu orang jangan di-tanya Tentu suka baba dan nyonya.,Peranakan,Panton Peranakan,Permolaan 9,Peranakan,gu,dap,rang,ka,nya,nya,nya,nya,22.0,"nyonya., baba, tingkah, orang, jangan, di-tanya, lagu, dengan, Suara, Itu, suka, Lima, nyanyi-nya, sedap, Tentu, dan, laku-nya, pon"
Kalau mahu kaseh dan sayang Ambil Kronchong 'Bayang Siang' Bahru-lah sedar jiwa melayang Jatoh di-hati berbayang-bayang.,Peranakan,Panton Peranakan,Permolaan 10,Peranakan,hu,chong,dar,ti,yang,ang,yang,yang,16.0,"sayang, mahu, Kronchong, kaseh, berbayang-bayang., jiwa, sedar, 'Bayang, Siang', Jatoh, di-hati, dan, melayang, Bahru-lah, Kalau, Ambil"
Bayang Siang di-nama mola Elok atoran tiada berchela Kepada hati bagi di-sula Situ-lah tempat manjadi gila.,Peranakan,Panton Peranakan,Permolaan 10,Peranakan,ang,ran,ti,pat,la,la,la,la,22.0,"atoran, mola, berchela, tempat, di-sula, Siang, tiada, Kepada, hati, gila., bagi, manjadi, Elok, di-nama, Bayang, Situ-lah"
Jangan tua srupa sahya Banyak angkota tiada bergaya Sebab pon orang banyak perchaya Jadi buleh nampak rupaya.,Peranakan,Panton Peranakan,Permolaan 10,Peranakan,a,ta,rang,leh,ya,ya,ya,ya,18.0,"nampak, angkota, Jadi, sahya, rupaya., tua, bergaya, tiada, Banyak, srupa, Jangan, banyak, orang, pon, perchaya, buleh, Sebab"
Dalam dunia kita sekarang Sronok ramai jadi-kan orang Tambah pulak muda yang garang Semua bagus mata pon terang.,Peranakan,Panton Peranakan,Permolaan 10,Peranakan,a,mai,lak,gus,rang,rang,rang,rang,21.0,"yang, pulak, orang, muda, mata, ramai, kita, Tambah, garang, sekarang, bagus, jadi-kan, terang., dunia, Semua, pon, Dalam, Sronok"
Satu lagi Stambol Dua Suka sangat muda dan tua Pandai bernyanyi sana tersua Tuan-lah ganti badan dan jiwa.,Peranakan,Panton Peranakan,Permolaan 9,Peranakan,gi,ngat,nyi,ti,a,a,a,wa,16.0,"Stambol, sangat, muda, Pandai, tua, ganti, badan, Satu, sana, jiwa., Tuan-lah, dan, Suka, lagi, tersua, Dua, bernyanyi"
Krana muda pandai biola Ada untong datang beyla Lagi-lagi jadi gemala Buleh di-ajar orang segala.,Peranakan,Panton Peranakan,Permolaan 9,Peranakan,da,tong,gi,jar,la,la,la,la,18.0,"segala., beyla, muda, Buleh, gemala, biola, untong, jadi, pandai, datang, Ada, di-ajar, Krana, orang, Lagi-lagi"
Orang itu pengibor-nya hati Chari tak-depat sampai mati Chari-lah tuan biar seperti Kalau tak-dapat jangan berhanti.,Peranakan,Panton Peranakan,Permolaan 9,Peranakan,tu,pat,an,pat,ti,ti,ti,ti,23.0,"berhanti., Chari-lah, tuan, sampai, tak-dapat, jangan, Orang, biar, seperti, hati, itu, tak-depat, mati, Chari, Kalau, pengibor-nya"
Apa pulak handak di-chari Kronchong Singapora nama bistari Lain-lain negri bawak kemari Tidak jemu sahari-hari.,Peranakan,Panton Peranakan,Permolaan 8,Peranakan,lak,ra,ri,mu,ri,ri,ri,ri,21.0,"jemu, pulak, negri, Tidak, nama, Kronchong, sahari-hari., bistari, bawak, Singapora, handak, di-chari, Apa, kemari, Lain-lain"
Pandai bermain manjadi guna Di-bawak kawan kesini sana Satu jua orang bernama Krana menyuka jantan betina.,Peranakan,Panton Peranakan,Permolaan 8,Peranakan,in,wan,a,ka,na,na,ma,na,20.0,"orang, Pandai, betina., Di-bawak, kesini, bernama, Satu, sana, menyuka, jantan, manjadi, Krana, jua, kawan, guna, bermain"
Tambah anak muda skarang Akal anjang hati terang Sedikit panton banyak di-karang Hengga jadi di-berkenan orang.,Peranakan,Panton Peranakan,Permolaan 8,Peranakan,nak,jang,ton,di,rang,rang,rang,rang,18.0,"panton, orang., anjang, Akal, muda, Sedikit, anak, Tambah, hati, skarang, jadi, Hengga, banyak, di-karang, terang, di-berkenan"
Satu lagi jadi-nay ampat Sri Pulau Manis chuba dapat Biar jaoh dia punya tempat Kalau de-dengar datang melompat.,Peranakan,Panton Peranakan,Permolaan 8,Peranakan,gi,nis,oh,ngar,pat,pat,pat,pat,23.0,"dia, ampat, Sri, Manis, tempat, de-dengar, chuba, Satu, Kalau, datang, Biar, punya, jadi-nay, melompat., jaoh, lagi, dapat, Pulau"
Jangan main kena-nya lagu Bila kena hati belanggu Kerap-kerap kawan menunggu Kaseh sayang tiada-nya ganggu.,Peranakan,Panton Peranakan,Permolaan 7,Peranakan,in,na,rap,yang,gu,gu,gu,gu,22.0,"sayang, tiada-nya, kena-nya, lagu, kena, Kerap-kerap, belanggu, hati, ganggu., Kaseh, Jangan, kawan, Bila, menunggu, main"
Dapat pulak Krongchong Klombia Di bawak pellet lagu soerabaya Siapa-siapa dengar-kan dia Tulang sendi tiada bergaya.,Peranakan,Panton Peranakan,Permolaan 7,Peranakan,lak,let,pa,di,a,ya,a,ya,21.0,"dia, dengar-kan, pulak, Dapat, Krongchong, bergaya., Siapa-siapa, lagu, sendi, bawak, Tulang, soerabaya, tiada, Klombia, pellet, Di"
Holanda perkata-an jawa Manis srupa pulot serawa Mampuas hati nafsu dan hawa Di-situ-lah tempat habis-kan jiwa.,Peranakan,Panton Peranakan,Permolaan 7,Peranakan,da,pa,ti,pat,wa,wa,wa,wa,22.0,"hawa, serawa, Manis, tempat, perkata-an, jiwa., hati, habis-kan, srupa, Holanda, dan, Di-situ-lah, pulot, jawa, nafsu, Mampuas"
Kena nyanyi yang belas-belas Seperti Kronchong Setengah Duablas Di-dengar orang berapa-nya jelas Suara-nya baik tingkat firstclass.,Peranakan,Panton Peranakan,Permolaan 7,Peranakan,nyi,chong,rang,ik,las,las,las,class,20.0,"yang, berapa-nya, orang, baik, Kronchong, belas-belas, tingkat, Duablas, Kena, Setengah, nyanyi, jelas, Seperti, Suara-nya, Di-dengar, firstclass."
Dalam panton macham di-kata Buleh di-sebot apa di-chita Biar jaoh serata-rata Jiwa Manis di-dalam mata.,Peranakan,Panton Peranakan,Permolaan 6,Peranakan,ton,bot,oh,nis,ta,ta,ta,ta,22.0,"panton, Buleh, Manis, di-kata, di-chita, Jiwa, apa, di-dalam, Biar, di-sebot, serata-rata, jaoh, macham, mata., Dalam"
Jila sudah tahu begitu Ambil pulak Stambol Satoe Siapa dengar berhati mutu Makin banyak lagu di-bantu.,Peranakan,Panton Peranakan,Permolaan 6,Peranakan,dah,lak,ngar,nyak,tu,toe,tu,tu,16.0,"Jila, pulak, Stambol, Siapa, Satoe, sudah, lagu, tahu, dengar, begitu, berhati, Makin, banyak, di-bantu., mutu, Ambil"
Orang Muda punya kesah Lagu dan panton begitu usah Bila tiba hati yang susah Gesek biola panton di-sesah.,Peranakan,Panton Peranakan,Permolaan 6,Peranakan,da,ton,ba,la,sah,sah,sah,sah,18.0,"panton, yang, Lagu, biola, Bila, tiba, hati, di-sesah., kesah, punya, begitu, Gesek, dan, usah, Muda, susah, Orang"
Kronchong itu krongchong apa Kronchong Preganger biasa ku-jumpa Jarang-jarang ada serupa Chari-chari-lah jangan lupa.,Peranakan,Panton Peranakan,Permolaan 6,Peranakan,tu,nger,rang,lah,pa,pa,pa,pa,18.0,"serupa, jangan, Chari-chari-lah, Kronchong, krongchong, biasa, apa, ada, Jarang-jarang, itu, lupa., Preganger, ku-jumpa"
Sembah sujood serta salam Mola shiar panton di sulam Kalau silap ada di-dalam Harap di-ampon siang dan malam,Peranakan,Panton Peranakan,Permolaan,Peranakan,jood,ar,lap,pon,lam,lam,lam,lam,18.0,"panton, serta, sulam, silap, malam, salam, Harap, ada, sujood, di-dalam, Sembah, siang, dan, shiar, di, Mola, di-ampon, Kalau"
Haram skali tiada-ku sangka Chempedak buleh manjadi nangak Ini-lah menurot hati yang suka Tiada berdararh isi-nya luka.,Peranakan,Panton Peranakan,Permolaan 2,Peranakan,li,leh,rot,rarh,ka,ngak,ka,ka,21.0,"yang, sangka, tiada-ku, buleh, hati, suka, isi-nya, Haram, berdararh, manjadi, menurot, nangak, luka., Ini-lah, Chempedak, skali, Tiada"
Tahu biola tambah hagu-nya Lagu apa chuba di-tanya Kepada skalian baba dan nyonya Lagu Kronchong sedap bunyi-nya.,Peranakan,Panton Peranakan,Permolaan 5,Peranakan,la,pa,an,chong,nya,nya,nya,nya,21.0,"Lagu, baba, Tahu, di-tanya, Kronchong, biola, hagu-nya, chuba, Kepada, apa, tambah, sedap, bunyi-nya., dan, nyonya, skalian"
Tembah pulak tahu biola Lagi sedap panton di-hela Dengar suara macham gula Kena rupa bagi nak-gila.,Peranakan,Panton Peranakan,Permolaan 5,Peranakan,lak,dap,ra,pa,la,la,la,la,23.0,"panton, suara, pulak, gula, di-hela, Dengar, tahu, biola, nak-gila., Kena, sedap, rupa, Tembah, bagi, macham, Lagi"
Bila sudah panton seloka Hati senang berchampor suka Pintu hati nampak terbuka Rasa hilang tempat yang luka.,Peranakan,Panton Peranakan,Permolaan 5,Peranakan,dah,nang,ti,lang,ka,ka,ka,ka,23.0,"panton, yang, nampak, terbuka, tempat, sudah, Hati, berchampor, suka, Pintu, hati, seloka, senang, hilang, luka., Bila, Rasa"
Acheh-Acheh keban kahulu Sripeduka panglima-nya Hati kaseh sabar dahulu Ada masa ketika-nya.,Peranakan,Panton Peranakan,Permolaan 5,Peranakan,cheh,ka,seh,sa,lu,nya,lu,nya,18.0,"keban, kahulu, masa, dahulu, panglima-nya, Hati, kaseh, Acheh-Acheh, ketika-nya., sabar, Ada, Sripeduka"
Sabar tuan jangan berbunyi Chari book panton dan nyanyi Buleh tahu bunga yang wangi Hibor-lah tuan hati yang sunyi.,Peranakan,Panton Peranakan,Permolaan 4,Peranakan,an,book,hu,an,nyi,nyi,ngi,nyi,16.0,"panton, tuan, yang, Buleh, jangan, dan, wangi, Hibor-lah, book, tahu, hati, Sabar, nyanyi, bunga, berbunyi, sunyi., Chari"
Hati muda baik di-sabar Jangan di-ashek rupa dan gambar Cherita sahja belom di-khabar Itu-pon sudah brapa gubur.,Peranakan,Peranakan,Permolaan 2,Peranakan,da,hek,ja,dah,bar,bar,bar,bur,19.0,"Itu-pon, Cherita, muda, baik, dan, gambar, Hati, di-ashek, sahja, sudah, gubur., belom, brapa, rupa, Jangan, di-sabar, di-khabar"
Rupa manusia kena jemalang Jangan mudah buleh di-hilang Curry chawi pengakalan tulang Barang kali buleh dapat di-selang.,Peranakan,Peranakan,Permolaan 2,Peranakan,a,dah,wi,leh,lang,lang,lang,lang,21.0,"pengakalan, kena, di-selang., dapat, Rupa, mudah, jemalang, tulang, kali, manusia, Jangan, di-hilang, Barang, chawi, buleh, Curry"
Luka isi parrot melintang Luka hati mengarot pon dating Hingga melengong pagi dan petang Harap di-hati buleh bertentang.,Peranakan,Peranakan,Permolaan 2,Peranakan,si,ti,ngong,ti,tang,ting,tang,tang,21.0,"dating, parrot, Hingga, isi, pagi, mengarot, Harap, bertentang., hati, petang, Luka, melintang, di-hati, melengong, dan, pon, buleh"
Siapa turot nafsu dan hawa Belakang kali kerap kechiwa Laku bertapa di-dalam gua Tiade bertutor tak-mahu ketawa,Peranakan,Peranakan,Permolaan 2,Peranakan,rot,li,pa,tor,wa,wa,a,wa,20.0,"hawa, Laku, tak-mahu, Siapa, kerap, ketawa, bertapa, kali, turot, di-dalam, Tiade, dan, bertutor, Belakang, nafsu, gua, kechiwa"
Sayang sekali rupa yang segak Tiada sekali di-agak-agak Orang muda lagi tertengak Undan sudah manjadi gagak.,Peranakan,Peranakan,Permolaan 2,Peranakan,li,li,da,dah,gak,gak,ngak,gak,20.0,"yang, muda, sudah, sekali, segak, Orang, gagak., Sayang, rupa, tertengak, manjadi, Undan, lagi, di-agak-agak, Tiada"
Jangan turot hawa nafsu Seperti budak menangis susu Badan kuat manjadi lesu Tiada bertutor serupa bisu,Peranakan,Peranakan,Permolaan 2,Peranakan,rot,dak,at,tor,su,su,su,su,18.0,"hawa, serupa, kuat, susu, bertutor, Badan, menangis, turot, manjadi, Jangan, Seperti, budak, nafsu, bisu, lesu, Tiada"
Ketika berat jangan di-turot Seperti ayer deras-nya surot Kalan muda jadi mengarot Rupa chantek jadi berparot,Peranakan,Peranakan,Permolaan 2,Peranakan,rat,yer,da,tek,rot,rot,rot,rot,23.0,"jangan, Kalan, muda, ayer, mengarot, Rupa, berparot, deras-nya, jadi, berat, surot, Ketika, Seperti, di-turot, chantek"
Chinta itu suatu rohsia Itu-lah tanda anak manusia Kalu tak-tahu jadi siasia Di-perkunon orang tiada biasa,Peranakan,Peranakan,Permolaan 1,Peranakan,tu,da,hu,rang,a,a,a,sa,19.0,"Di-perkunon, Kalu, rohsia, anak, Itu-lah, tanda, siasia, jadi, tiada, biasa, Chinta, suatu, itu, manusia, orang, tak-tahu"
Bila berchinta dating ingatan Kalau pon skali anak sultan Baik di-kampong baik di-hutan Mitak jangan di haru shaitan,Peranakan,Peranakan,Permolaan 1,Peranakan,ta,li,pong,ngan,tan,tan,tan,tan,21.0,"dating, Mitak, sultan, baik, jangan, di-kampong, anak, haru, berchinta, Baik, shaitan, di-hutan, Bila, pon, di, ingatan, skali, Kalau"
Permola-an kita  cherita Tiap-tiap muda pandai berchinta Segala negri serata-rata Sudah tentu bahru di-kata,Peranakan,Peranakan,Permolaan 1,Peranakan,an,da,ri,tu,ta,ta,ta,ta,21.0,"muda, negri, di-kata, Permola-an, kita, berchinta, Segala, pandai, Tiap-tiap, serata-rata, bahru, Sudah, tentu, cherita"
Ingat-ingat satu ibarat Kena chinta jangan melarat Pekara itu banyak berat Turot tuan oleh-nya yang larat,Peranakan,Peranakan,Permolaan 1,Peranakan,ngat,ta,tu,an,rat,rat,rat,rat,22.0,"yang, Ingat-ingat, Pekara, tuan, jangan, melarat, Kena, satu, chinta, berat, ibarat, itu, banyak, oleh-nya, Turot, larat"
Orang pandai harap begitu Mas tua tak-korang mutu Mas muda ikatan batu Bukan pakai-an raja raktu,Peranakan,Panton Peranakan,Permolaan,Peranakan,dai,a,da,an,tu,tu,tu,tu,18.0,"muda, tua, pandai, Bukan, harap, begitu, tak-korang, batu, Mas, raja, raktu, pakai-an, mutu, ikatan, Orang"
Lama bahru sama-nya ada Begitu elok sekarang muda Lama jangan hilang di-dada Bahru sahja mengada-ngada,Peranakan,Panton Peranakan,Permolaan,Peranakan,ru,lok,ngan,ja,da,da,da,da,22.0,"di-dada, Lama, sama-nya, muda, jangan, sahja, Begitu, sekarang, ada, elok, Bahru, bahru, hilang, mengada-ngada"
Ada buku jadi ingatan Kepada tukang punya buatan Dengan panton punya hubatan Laut buleh jadi daratan,Peranakan,Panton Peranakan,Permolaan,Peranakan,ku,kang,ton,leh,tan,tan,tan,tan,22.0,"buku, Dengan, panton, buatan, Kepada, jadi, Laut, Ada, punya, hubatan, tukang, daratan, ingatan, buleh"
Lagu malayu sungggoh sekerat Kalau dah-lupa banyah-lah berat Kerana tiada di-dalam sorat Tulang biola banyak gelorat,Peranakan,Panton Peranakan,Permolaan,Peranakan,yu,pa,da,la,rat,rat,rat,rat,22.0,"gelorat, Lagu, sekerat, biola, sorat, sungggoh, tiada, Kerana, malayu, banyah-lah, di-dalam, berat, Tulang, banyak, dah-lupa, Kalau"
Lagu dahulu di-bagi-kan rupa Kalau tak-tunjok tentu terlupa Zaman sekarang lain di-rempa Mana buleh jadi serupa,Peranakan,Panton Peranakan,Permolaan,Peranakan,lu,jok,rang,leh,pa,pa,pa,pa,21.0,"Lagu, serupa, dahulu, Mana, terlupa, sekarang, jadi, lain, rupa, tak-tunjok, di-rempa, di-bagi-kan, tentu, buleh, Kalau, Zaman"
Zaman dahulu neh-nek kita Lagu itu ada serta Sekarang banyak lupa chita Kita tunjok ini-nya peta,Peranakan,Panton Peranakan,Permolaan,Peranakan,lu,tu,nyak,jok,ta,ta,ta,ta,18.0,"Kita, Lagu, serta, dahulu, kita, neh-nek, ada, tunjok, peta, itu, banyak, Sekarang, chita, ini-nya, lupa, Zaman"
Tiga orang mati-nya sudah Tinggal panton burok dan indah Ti-ada kami lagi gondah Lagu-lagu lama jangan di-ubah,Peranakan,Panton Peranakan,Permolaan,Peranakan,rang,ton,mi,ma,dah,dah,dah,bah,20.0,"panton, gondah, Lagu-lagu, Ti-ada, jangan, Tinggal, sudah, mati-nya, di-ubah, Tiga, indah, lama, kami, dan, orang, lagi, burok"
Orang  sekarang banya mengerti Harap sahya sepuas hati Laku kita baik perkerti Buat di-tinggal sampai mati,Peranakan,Panton Peranakan,Permolaan,Peranakan,,,,,,,,,0.0,"Laku, sampai, mengerti, banya, sahya, baik, Buat, Harap, kita, hati, sekarang, perkerti, sepuas, mati, di-tinggal, Orang"
Harap sahya orang mengarang Mana tak-betol mau di-parang Yang kelam tulong pertrang Supaya baik kepada orang,Peranakan,Panton Peranakan,Permolaan,Peranakan,ya,tol,lam,ik,rang,rang,trang,rang,15.0,"tak-betol, di-parang, sahya, Mana, baik, Harap, pertrang, mengarang, mau, tulong, kepada, Supaya, Yang, orang, kelam"
pergi memburu bersama-sama pemburu bertemu dengan rusa jadilah guru biarlah lama  agar ilmu kenang sentiasa,ahmad azamudyn,Penggemar Pantun,nasihat,pantun tradisional,ru,mu,ru,mu,ma,sa,ma,sa,25.0,"biarlah, pemburu, agar, sentiasa, bertemu, dengan, pergi, jadilah, bersama-sama, kenang, rusa, guru, ilmu, lama, memburu"
"Hendak berhijrah ke seberang, Bekal ilmu petunjuk jalan, Ikut marah hubungan berjurang, Nanti dirimu hilang kawalan.",nur sumayyah,Penggemar Pantun,nasihat,tradisional,rah,mu,rah,mu,rang,lan,rang,lan,25.0,"hubungan, jalan,, Nanti, seberang,, marah, berjurang,, berhijrah, ilmu, hilang, Bekal, petunjuk, Hendak, dirimu, kawalan., ke, Ikut"
"Bukan panggong sebarang panggong, panggong kalau hendak bersemur; Bukan gonggong sebarang gonggong, Gonggong di Pulau Panjang Timur.",CG Karmin Abbas,Himpunan Pantun CG Karmin Abbas,Gonggong,Jual,gong,lau,gong,lau,gong,mur,gong,mur,25.0,"Panjang, Gonggong, panggong,, panggong, kalau, gonggong,, Bukan, bersemur;, gonggong, hendak, Timur., di, Pulau, sebarang"
"Rumah Cik Puan dekat Sembawang, Rumahnya Tok Ki di Jalan Buyung; Kaum perempuan suka membawang, kaum lelaki sukanya mendayung.",CG Karmin Abbas,Hentam Ajalah!,Bercerita,Sindiran,an,ki,an,ki,wang,yung,wang,yung,25.0,"dekat, Tok, di, Kaum, Sembawang,, Ki, Rumah, Rumahnya, Cik, membawang,, lelaki, kaum, Jalan, mendayung., Puan, suka, Buyung;, perempuan, sukanya"
"Ada kedai menjual kikir, upah budak kukur kelapa; Orang pandai kuat berfikir, Kalau tidak kuatnya apa?",CG Karmin Abbas,Hentam sajalah!,Pandai,Jenaka?,dai,dak,dai,dak,kir,pa,kir,pa,25.0,"menjual, kuatnya, kuat, kukur, kelapa;, Kalau, kedai, pandai, Ada, tidak, berfikir,, budak, apa?, upah, kikir,, Orang"
"Tanah liat menguning telur, corak asli berawan larat; Tidak meluat melihat jalur, niat membeli sudah tersirat.",CG Karmin Abbas,Himpunan Pantun CG Karmin Abbas,Membeli,Niat Tersirat,at,li,at,li,lur,rat,lur,rat,25.0,"menguning, liat, melihat, larat;, telur,, berawan, Tidak, meluat, jalur,, sudah, tersirat., asli, corak, niat, Tanah, membeli"
